,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GRMZM2G059865,7092.216806,0.763868101,0.336234048,2.271834475,0.02309651,0.06942224
GRMZM5G888250,61.46524267,7.470247431,1.351849816,5.525944777,3.28E-08,3.15E-07
GRMZM2G093344,155.1272489,0.560657155,0.750231016,0.747312685,0.454874837,0.719594197
GRMZM2G093399,233.0260265,0.852594768,1.249836371,0.682165112,0.495134552,0.759710268
GRMZM5G809743,204.4033134,-0.275342855,1.10335682,-0.249550145,0.802935257,0.991821443
GRMZM5G833153,165.5619684,-2.303801073,1.012645637,-2.275031846,0.02290402,0.068938215
GRMZM2G306216,6.804058712,-0.565615832,1.001316683,-0.564872074,0.572160779,0.827872128
AC177838.2_FG015,23.87729057,0.95907345,1.103456644,0.869153723,0.384763056,0.645092803
GRMZM2G104572,4.031019493,-0.415182025,1.724472935,-0.240758794,0.809742068,0.995638645
GRMZM5G822187,2.343201888,-2.249443353,1.44695978,-1.554599779,0.120041417,0.269482555
GRMZM5G815900,0,NA,NA,NA,NA,NA
GRMZM2G023794,38.43779736,4.172680875,1.150911647,3.625544051,0.000288354,0.001432668
GRMZM2G023863,121.174349,-0.364673859,0.400884159,-0.909673907,0.362994509,0.619880998
GRMZM2G137648,0,NA,NA,NA,NA,NA
GRMZM2G137697,0,NA,NA,NA,NA,NA
GRMZM2G408834,124.8386485,3.941424874,0.786985346,5.008257007,5.49E-07,4.44E-06
GRMZM2G108663,0.085731505,0,1.958595556,0,1,1
AC204887.4_FG003,0.049578407,0,1.958595556,0,1,1
GRMZM2G471814,9.936480193,-1.429846168,1.595000986,-0.896454724,0.370009951,0.628099026
GRMZM2G330436,276.7950908,-0.050921374,0.377508004,-0.134888198,0.892700271,1
GRMZM2G032104,805.8625662,0.996718943,0.344541102,2.892888357,0.00381717,0.014498209
GRMZM2G333069,0,NA,NA,NA,NA,NA
GRMZM2G399700,273.4065047,1.5131814,0.632089111,2.393936825,0.01666862,0.052511329
GRMZM2G703460,0,NA,NA,NA,NA,NA
GRMZM2G474694,111.14961,0.35189401,1.100640317,0.319717536,0.749182465,0.958202441
GRMZM2G172183,43.98063545,0.085820429,0.637551035,0.134609504,0.892920627,1
GRMZM2G073979,706.1603146,1.892192465,0.470214899,4.024101468,5.72E-05,0.000327504
GRMZM2G374777,4.988771695,-2.289673281,1.19290991,-1.919401677,0.054933519,0.143231038
GRMZM2G374779,407.6020029,-1.734317888,0.729182207,-2.378442412,0.017385952,0.054456988
GRMZM2G374812,17.438777,-0.579316029,1.057043051,-0.548053392,0.583655243,0.837958546
GRMZM2G052586,63.97939679,2.364810843,0.827572167,2.857528246,0.004269546,0.016012851
GRMZM2G483779,115.4762352,1.255066012,0.610371854,2.056231793,0.039760179,0.109673314
GRMZM2G002121,620.4920175,-2.705556902,0.255196914,-10.60184021,2.92E-26,1.33E-24
GRMZM2G026639,1419.854505,0.110620934,0.187876742,0.58879525,0.555998633,0.814865262
GRMZM2G058632,3.550863493,3.51533539,1.477504563,2.379238263,0.017348458,0.054357345
GRMZM2G367714,0.466967188,0.477787463,2.026003393,0.235827573,0.813566471,0.996101479
GRMZM2G097229,0,NA,NA,NA,NA,NA
GRMZM2G474194,41.03230634,0.774679527,2.020809235,0.383351142,NA,NA
GRMZM2G703462,0,NA,NA,NA,NA,NA
GRMZM2G161483,0.18689365,0,1.958595556,0,1,1
GRMZM2G161540,0.164996943,0,1.958595556,0,1,1
AC193500.3_FG003,0,NA,NA,NA,NA,NA
GRMZM2G161560,6610.299074,1.970685769,0.307458956,6.409589741,1.46E-10,1.87E-09
GRMZM2G079891,30.66401996,6.736255434,1.437103842,4.687382525,2.77E-06,2.00E-05
GRMZM2G379898,20.34106324,0,1.927372724,0,NA,NA
GRMZM2G060265,0.133895685,0,1.958595556,0,1,1
GRMZM2G361164,0,NA,NA,NA,NA,NA
GRMZM2G060296,14942.64281,-0.347249576,0.243618952,-1.425379977,0.154047393,0.328027488
GRMZM2G176952,55.7343209,-1.84361126,0.770744917,-2.391986269,0.016757469,0.052754485
GRMZM2G164696,2023.620843,0.744772226,0.522848693,1.424450777,0.154316024,0.328458169
GRMZM2G703466,266.3382086,-0.025895968,0.986118326,-0.026260508,0.979049554,1
GRMZM2G114469,14.31988599,-2.102373168,1.493258356,-1.407909864,NA,NA
GRMZM2G114459,1497.640908,1.100423792,0.245749132,4.4778339,7.54E-06,5.07E-05
GRMZM2G458423,47.05498358,4.638284019,0.965917837,4.801944679,1.57E-06,1.18E-05
GRMZM2G109725,492.9697276,2.981829749,0.54178221,5.503742455,3.72E-08,3.55E-07
GRMZM2G410990,33.12970881,0.284872861,1.144044179,0.249005123,0.803356819,0.992125389
GRMZM2G158378,0,NA,NA,NA,NA,NA
GRMZM2G459354,0.488070327,0.888156214,1.962279516,0.452614526,0.650826337,0.891827182
GRMZM2G329177,874.0422141,0.789116045,0.767790165,1.027775661,0.304055368,0.547820972
GRMZM2G028870,3.747207246,0,1.965678738,0,NA,NA
GRMZM2G052546,1401.029573,-0.808682345,0.626935829,-1.28989652,0.197086589,0.397219345
GRMZM2G035377,82.46230864,-0.055240848,0.788103159,-0.070093423,0.944119302,1
GRMZM2G085691,291.8395418,-0.126848386,0.413991622,-0.306403268,0.759297621,0.964649297
GRMZM2G388684,0,NA,NA,NA,NA,NA
GRMZM2G085827,304.649815,0.250579259,0.39073853,0.641296517,0.521330052,0.783824355
GRMZM2G085872,166.2852632,-2.367559074,0.544568312,-4.347588767,1.38E-05,8.83E-05
GRMZM2G085885,527.2074571,-2.876437138,0.698416013,-4.11851545,3.81E-05,0.00022572
GRMZM2G086242,3.960465147,-0.056674098,1.586367567,-0.035725704,0.971501075,1
GRMZM2G086269,5.934386976,-0.769073064,1.462703531,-0.525788752,0.599034991,0.851301105
GRMZM2G042552,371.557262,-1.067389233,0.44750998,-2.38517414,0.017071038,0.053599857
GRMZM2G042539,11.35240848,-1.430205534,0.830657733,-1.721774778,0.085110325,0.204737294
GRMZM2G042250,242.3775794,1.301296205,0.458055589,2.840913279,0.004498454,0.016771855
GRMZM2G041881,2541.651534,-0.411815283,0.441616956,-0.93251692,0.351069446,0.605633235
GRMZM5G802392,851.1242815,-1.808906197,0.438240445,-4.127656895,3.66E-05,0.000217673
GRMZM2G006673,989.4324937,-0.068755947,0.508136206,-0.135310073,0.892366722,1
GRMZM2G007025,342.4978821,0.892999738,0.577325844,1.546786355,0.121914772,0.272785768
GRMZM2G015384,2101.715227,0.601219645,0.326078248,1.843789485,0.065213826,0.164767609
GRMZM2G436286,0.507537934,0,1.958595556,0,1,1
GRMZM2G137366,657.8633467,0.084271765,0.302400875,0.278675667,0.780493738,0.978230014
GRMZM2G137352,4.945415876,4.355149781,1.724143917,2.525978102,0.011537667,0.038250903
GRMZM2G137329,3.51395273,3.018689026,1.769917711,1.705553319,0.088091277,0.21051341
GRMZM2G137236,2376.521552,1.867967021,0.363799379,5.134607502,2.83E-07,2.39E-06
GRMZM2G436226,29.07289834,1.412516975,0.96739579,1.460123137,0.144256235,0.31163609
GRMZM2G314660,5.86014322,3.414577046,1.472326463,2.319171143,0.020385758,0.062428982
GRMZM2G092232,209.4430061,1.015690738,0.567921127,1.788436264,0.07370565,0.18208499
GRMZM2G393062,18.38075686,0.796629292,1.04252147,0.764137061,0.444785569,0.709807465
GRMZM2G092165,162.2570501,-0.750368821,0.424981657,-1.765649902,0.077454602,0.189615316
GRMZM2G124550,99.42603118,2.078692517,1.159885571,1.792153095,0.073108446,0.180865118
GRMZM2G144197,2.098817697,1.927608725,1.751275679,1.100688343,0.271032322,0.504555285
GRMZM2G144101,1526.960356,-1.613105721,0.497624126,-3.241614777,0.001188546,0.005142119
GRMZM2G077615,118.7652924,-1.282802398,0.320548512,-4.001897836,6.28E-05,0.000357118
GRMZM2G077669,564.8973209,-0.293836134,0.31287836,-0.939138562,0.347659608,0.601669027
GRMZM2G077760,102.0970812,-0.466956878,0.455739297,-1.024614031,0.305545342,0.549744909
GRMZM2G077769,0.941609763,-0.661262358,1.833774359,-0.360601813,0.718397134,0.937644068
GRMZM2G077780,430.7147596,1.760892156,0.577317503,3.050127786,0.00228744,0.009215766
GRMZM2G126199,34.35520929,0.771530407,0.721261729,1.069695474,0.284756404,0.522807032
