"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,-0.564988760819429,0.336370586358817,-1.67966161053315,0.0930231730346684,0.219931672823204
"GRMZM5G888250",61.4652426741119,-3.55990971770548,1.40548812503464,-2.53286360396517,0.0113134965861382,0.0376126786152155
"GRMZM2G093344",155.127248931398,-2.27025527610895,0.749735912173071,-3.02807327119857,0.00246118404544209,0.00983514766652987
"GRMZM2G093399",233.026026456455,4.4641319775569,1.2869879334077,3.46866653655152,0.000523048234993401,0.00245639280577544
"GRMZM5G809743",204.40331335837,-4.54382268551504,1.09853300176381,-4.1362641615859,3.5300579827497e-05,0.000210330877435043
"GRMZM5G833153",165.561968427443,-4.75584017946458,0.978875330231308,-4.85847383480466,1.18294037757907e-06,9.08279335611655e-06
"GRMZM2G306216",6.80405871203076,-1.02934658664029,0.992096408587975,-1.03754693367486,0.299481034442794,0.541995727640065
"AC177838.2_FG015",23.8772905717137,0.465925773082024,1.120070473367,0.415978980038123,0.677425384593914,0.909784010584896
"GRMZM2G104572",4.0310194932648,-3.83682672729925,1.65311404029753,-2.32096917319067,0.020288507657963,0.0621709919561985
"GRMZM5G822187",2.34320188761073,1.88785162246964,1.52253921205498,1.2399362903249,0.214998959668152,0.424409103770537
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,0.170494353554039,1.27499329550064,0.133721764777667,0.893622593930014,1
"GRMZM2G023863",121.174349023165,0.15902204921912,0.407063184864079,0.390656917972619,0.696050847661885,0.922318008533272
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,4.47326468072824,1.23334819370668,3.62692766207762,0.000286813602786549,0.00142595613721868
"GRMZM2G108663",0.0857315045350747,0,1.95859555626474,0,1,1
"AC204887.4_FG003",0.0495784067495105,0,1.95859555626474,0,1,1
"GRMZM2G471814",9.93648019280297,0.428629792422463,1.60009999513557,0.267876878773534,0.788794091547223,0.983831997708826
"GRMZM2G330436",276.795090782569,-2.29353749610406,0.375454245213655,-6.10870039516774,1.00445683354644e-09,1.16966401364321e-08
"GRMZM2G032104",805.862566167183,2.73298297677004,0.361929998228312,7.55113693296575,4.31474891242459e-14,7.84646774092858e-13
"GRMZM2G333069",0,NA,NA,NA,NA,NA
"GRMZM2G399700",273.406504708589,-0.17417359007291,0.636261251038629,-0.273745399061455,0.784280286437769,0.98071752954302
"GRMZM2G703460",0,NA,NA,NA,NA,NA
"GRMZM2G474694",111.149609966893,5.92708098226317,1.30160958683952,4.55365498394561,5.27217971790863e-06,3.63739162506115e-05
"GRMZM2G172183",43.9806354533518,1.83498988190215,0.695894627580164,2.63687893134476,0.00836726888117152,0.0289343087827602
"GRMZM2G073979",706.160314627946,3.2313326090514,0.50270620509434,6.42787492238135,1.29400142886512e-10,1.66528704683536e-09
"GRMZM2G374777",4.98877169457251,3.44360049662286,1.40431937576514,2.45214910229849,0.0142005806075754,0.0457561796049922
"GRMZM2G374779",407.602002874696,5.4520095747277,0.752426354992891,7.2459045839499,4.29562453639669e-13,7.13177752050441e-12
"GRMZM2G374812",17.4387769997838,5.78422042718311,1.37654481897078,4.20198481550921,2.64584885143017e-05,0.000161357760210514
"GRMZM2G052586",63.9793967937125,4.53546703583018,1.25748578750906,3.60677399369614,0.000310027468260171,0.00152974990103975
"GRMZM2G483779",115.476235214631,-1.36035359844462,0.614198050194002,-2.21484519205968,0.0267706921054409,0.0786993036660723
"GRMZM2G002121",620.492017530785,2.67825837508317,0.260889047928698,10.2658904095321,1.00390525546068e-24,4.1328845329386e-23
"GRMZM2G026639",1419.85450530825,-0.0653473796705119,0.189305102290339,-0.345196082302568,0.729946963830271,0.946243396475568
"GRMZM2G058632",3.55086349262955,0.169752026874585,1.66489117309866,0.101959833541941,0.918788557065052,1
"GRMZM2G367714",0.466967188366804,0.523051798092377,2.02536811769702,0.258250237831886,0.796213788307562,0.988562303103808
"GRMZM2G097229",0,NA,NA,NA,NA,NA
"GRMZM2G474194",41.0323063424007,0,2.01724810353363,0,NA,NA
"GRMZM2G703462",0,NA,NA,NA,NA,NA
"GRMZM2G161483",0.186893649809787,0,1.95859555626474,0,1,1
"GRMZM2G161540",0.164996942756003,0,1.95859555626474,0,1,1
"AC193500.3_FG003",0,NA,NA,NA,NA,NA
"GRMZM2G161560",6610.29907376285,-5.28146267342074,0.307262130124029,-17.1887849351589,3.22214547138171e-66,1.22268254643449e-63
"GRMZM2G079891",30.6640199639437,-4.13633476140221,1.46584641909332,-2.82180636901967,0.00477540004223731,0.0176790657261119
"GRMZM2G379898",20.3410632421888,0,1.92737272357857,0,NA,NA
"GRMZM2G060265",0.133895684872096,-0.645600552059629,1.95859555626474,-0.329624229971634,0.741683912059,0.95298032448344
"GRMZM2G361164",0,NA,NA,NA,NA,NA
"GRMZM2G060296",14942.6428094227,-1.24553930090963,0.243605159879104,-5.11294301618145,3.17178001131005e-07,2.65734996316223e-06
"GRMZM2G176952",55.7343208996896,-1.79135260725073,0.756350254265207,-2.3684167449524,0.0178644005373328,0.0557369700107849
"GRMZM2G164696",2023.62084257289,-0.0965560096099683,0.523723054125117,-0.184364634799715,0.853727411569186,1
"GRMZM2G703466",266.338208581967,-1.37857547326307,0.986095064369526,-1.39801477877235,0.16210862925639,0.341368905940242
"GRMZM2G114469",14.3198859861697,-0.00808396822266054,1.4877757663503,-0.00543359315664315,NA,NA
"GRMZM2G114459",1497.64090814757,-1.45650144505377,0.246186773369133,-5.91624572320091,3.29373031125977e-09,3.60651221669981e-08
"GRMZM2G458423",47.0549835808902,-5.27922085456493,0.967730030978774,-5.45526198998439,4.89006917859128e-08,4.59084197890111e-07
"GRMZM2G109725",492.969727614285,-1.6379214807275,0.544181458159805,-3.00988109052129,0.0026134998572772,0.0103697656026844
"GRMZM2G410990",33.1297088106256,0.992850492111142,1.16048726018587,0.85554622284446,0.392248826669825,0.65358819742754
"GRMZM2G158378",0,NA,NA,NA,NA,NA
