"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,-0.256550737881352,0.336529561272179,-0.762342353853006,0.445855701800017,0.710557886071412
"GRMZM5G888250",61.4652426741119,-0.417658760555207,1.02608761176095,-0.407040057562366,0.683978567642705,0.914836863859424
"GRMZM2G093344",155.127248931398,-0.0850625889120573,0.750181057765736,-0.113389411837989,0.909721833702888,1
"GRMZM2G093399",233.026026456455,0.426502831712203,1.24953199379973,0.341330061037684,0.73285511985267,0.948150394390599
"GRMZM5G809743",204.40331335837,-0.731830457399261,1.14249557106442,-0.640554305796952,0.521812295523176,0.784255062451068
"GRMZM5G833153",165.561968427443,-0.530281864391618,1.05497989449674,-0.502646417394123,0.615212888321241,0.864312430436626
"GRMZM2G306216",6.80405871203076,-1.00829278892269,0.935503155983468,-1.07780800361138,0.28111944703867,0.518064275267228
"AC177838.2_FG015",23.8772905717137,-1.69678778698397,1.24463244245557,-1.36328423485115,0.172792948598579,0.358732387276954
"GRMZM2G104572",4.0310194932648,2.92935806548108,1.69014119679093,1.73320316139448,0.0830595653289372,0.200743422044244
"GRMZM5G822187",2.34320188761073,3.0230068557865,1.37803858533739,2.19370262048676,0.0282567953282673,0.0823721191888205
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,-2.15582551468761,1.11510518431596,-1.93329341931996,0.0532000620299433,0.139522696460714
"GRMZM2G023863",121.174349023165,-0.33530946220204,0.411226522852787,-0.815388705660106,0.414849847231261,0.678413403257567
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,0.552275563274487,0.768497587228471,0.718643197392756,0.472360790264393,0.737532459810639
"GRMZM2G108663",0.0857315045350747,0.146613598704312,1.95859555626474,0.0748564951224131,0.940328891254758,1
"AC204887.4_FG003",0.0495784067495105,0.504202587769504,1.95859555626474,0.257430680957468,0.796846320785068,0.988562303103808
"GRMZM2G471814",9.93648019280297,2.24147242548616,1.5816501472974,1.41717334223135,0.156432253664144,0.331987267572076
"GRMZM2G330436",276.795090782569,0.506475792916524,0.373954263876479,1.35437897583063,0.175615501562488,0.363286545333868
"GRMZM2G032104",805.862566167183,-0.0308400666187615,0.34438176907026,-0.0895519722255379,0.928643251596182,1
"GRMZM2G333069",0,NA,NA,NA,NA,NA
"GRMZM2G399700",273.406504708589,0.00361332034849352,0.634705119873592,0.00569291192926434,0.995457738000857,1
"GRMZM2G703460",0,NA,NA,NA,NA,NA
"GRMZM2G474694",111.149609966893,0.69003465834436,1.09942962172897,0.62762967697669,0.530246562932042,0.792173566032134
"GRMZM2G172183",43.9806354533518,-0.415167720874271,0.639652794843006,-0.64905167963218,0.516304972886799,0.779773509093686
"GRMZM2G073979",706.160314627946,-0.0121511129450985,0.469224046564923,-0.0258961854876235,0.979340142567717,1
"GRMZM2G374777",4.98877169457251,0.00894962868560275,1.14807596560437,0.00779532796933995,0.99378029115925,1
"GRMZM2G374779",407.602002874696,-0.490347814961078,0.733286740206762,-0.668698597799296,0.503687762173391,0.767857179822663
"GRMZM2G374812",17.4387769997838,-0.607041665369937,1.07961398760052,-0.562276584355033,0.573927589451438,0.829398499206532
"GRMZM2G052586",63.9793967937125,0.271187371216594,0.807184596478861,0.335966980043451,0.736895766734497,0.95106050199959
