"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G059865",5236,4191,4969,4461,3221,10428,2977,4593,2071,5043,4562,4819,17608,12338,13796,15291,9384,12161
"GRMZM5G888250",6,0,1,0,0,0,54,29,0,49,60,29,249,60,94,373,181,208
"GRMZM2G093344",196,322,193,18,85,141,94,55,109,227,165,12,247,83,197,191,137,83
"GRMZM2G093399",2,7,0,495,0,0,287,545,261,308,357,322,617,484,419,342,348,366
"GRMZM5G809743",533,586,683,0,62,43,11,6,0,4,14,18,42,18,66,34,22,0
"GRMZM5G833153",481,367,632,10,16,61,1,14,0,17,8,0,5,3,13,3,7,0
"GRMZM2G306216",8,8,0,8,1,4,11,7,2,19,22,12,7,4,2,6,9,4
"AC177838.2_FG015",14,12,9,0,28,66,0,4,0,10,9,0,73,75,113,14,40,16
"GRMZM2G104572",0,31,4,0,1,1,7,0,4,1,0,0,1,0,1,0,1,3
"GRMZM5G822187",0,1,0,2,3,4,19,6,1,1,1,1,0,2,0,1,1,4
"GRMZM5G815900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G023794",3,0,0,0,0,8,2,1,11,24,23,63,190,49,31,198,102,166
"GRMZM2G023863",50,83,95,125,102,214,89,85,25,82,115,113,270,145,93,224,200,233
"GRMZM2G137648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G137697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G408834",0,0,0,39,1,5,116,114,159,140,173,58,439,359,388,192,383,269
"GRMZM2G108663",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"AC204887.4_FG003",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G471814",4,4,3,26,0,0,51,61,2,1,14,5,0,0,11,0,13,7
